#Province id 0 is ignored, hard coded.
0;0;0;0;;x;;;;;;;;;;;;;;;;;,
1;90;158;107;Keldagrim;,
2;95;166;112;Rellekka;,
3;29;38;19;Troll Stronghold;,
4;166;194;96;Piscatoris Fishing Colony;,
5;101;176;119;Fremennik Province;,
6;35;46;23;Trollheim;,
7;21;28;14;Mountain Camp;,
8;160;201;90;Rower's Arm;,
9;43;56;28;Burthorpe;,
10;176;222;99;Ape Atoll;,
11;190;222;111;Kraken Cove;,
12;13;18;9;Death Plateau;,
13;17;23;11;The Woodcutting Guild;,
14;177;207;103;Gnome Stronghold;,
15;47;61;30;Warriors' Guild;,
16;163;189;92;Barbarian Outpost;,
17;139;211;133;Sinclair Mansion;,
18;129;196;124;Seers' Village;,
19;57;74;36;Taverley;,
20;212;245;121;Drumstick Isle;,
21;61;79;38;Gnome City;,
22;168;189;100;Barbarian Outpost;,
23;136;171;76;Gnomeball Field;,
24;129;196;124;Varrock;,
25;100;130;63;Black Knights' Fortress;,
26;179;201;107;Otto's Grotto;,
27;144;211;131;Camelot Castle;,
28;78;102;49;Chaos Temple;,
29;147;213;131;White Wolf Mountain;,
30;168;212;95;Eagles' Peak;,
31;103;180;122;Coal Trucks;,
32;110;143;69;Edgeville Monastery;,
33;72;94;45;Goblin Village;,
34;137;205;129;Heroes' Guild;,
35;146;191;93;Edgeville;,
36;141;208;130;Druids' Circle;,
37;151;189;84;Grand Tree;,
38;130;200;128;Falador;,
39;148;214;131;Catherby;,
40;160;209;102;Grand Exchange;,
41;160;180;96;Baxtorian Falls;,
42;88;115;55;Ice Mountain;,
43;176;230;112;Varrock Palace;,
44;125;196;127;McGrubor's Wood;,
45;201;232;115;Ynysthal;,
46;192;250;122;Lumbridge;,
47;94;122;59;Dwarven Mine;,
48;157;184;91;Dowlore Village;,
49;188;207;113;Tree Gnome Stronghold;,
50;183;212;105;Gonah;,
51;179;213;124;River Dougne;,
52;117;190;125;Hemenster;,
53;145;211;131;Kranos;,
54;168;191;80;Barbarian Village;,
55;133;173;84;Cook's Guild;,
56;122;158;77;Wilderness;,
57;163;189;94;Mythlid;,
58;174;201;100;Gwenith;,
59;108;184;123;Fishing Guild;,
60;136;204;129;Keep Le Faye;,
61;140;207;130;Draynor Village;,
62;147;213;131;Ranging Guild;,
63;146;171;84;Combat Training Camp;,
64;113;187;124;Entrana;,
65;182;207;87;Draynor Manor;,
66;122;158;77;Ardougne;,
67;192;213;126;Ardougne;,
68;135;158;78;Troll Outpost;,
69;193;255;103;Champion's Guild;,
70;215;235;160;Dark Wizards' Tower;,
71;103;180;122;Falador;,
72;155;179;89;Port Phasmatys;,
73;129;199;127;Legends' Guild;,
74;192;222;110;Prifddinas;,
75;98;176;121;Draynor Manor;,
76;132;217;94;Xeric's Glen;,
77;141;232;101;Varrock Sewers;,
78;146;168;84;Arandar;,
79;152;250;108;Zanaris;,
80;186;250;102;Exam Centre;,
81;166;217;106;Edgeville;,
82;147;242;105;Burthorpe;,
83;194;245;109;Mistalin;,
84;226;255;108;Kingdom of Misthalin;,
85;96;175;121;East Ardougne;,
86;91;171;120;West Ardougne;,
87;157;221;134;Al Kharid;,
88;113;188;124;Mage Training Arena;,
89;220;236;165;South Falador Farm;,
90;124;195;126;Witchaven;,
91;124;195;126;Zanaris;,
92;211;234;156;Crafting Guild;,
93;126;145;72;Tirannwn;,
94;186;235;105;Draynor Manor;,
95;107;182;123;Crandor;,
96;202;255;113;Falador Park;,
97;117;190;125;Fishing Platform;,
98;190;229;144;Port Sarim;,
